userId,converted,revenue
33012dc4e1674db9b61a9e4c551d620f,0,0.0
cc1602ca771e4fa988406ee8c252a189,0,0.0
9844cc290fbd4c6a93941a091d069045,1,0.59
ab59486a391342f78c0dc62966f43f70,0,0.0
e000b9aed0474a958fb6e88af58ad366,0,0.0
16d2618de4f54dd4a005074379062d40,0,0.0
53c5cfbb07b846ca983604980c9be069,0,0.0
d4dbef786ef44c50aeaa59915a869829,1,0.7
3c929da66a21488bbeffa5f3754e2342,0,0.0
e6fa99a2efea4a0795ed8b87c0a6f276,1,0.1
fcfb14bed9644704aa1cf11412f6d9db,0,0.0
f397927129a74da89725e4ddbba4d075,1,0.92
20c114a0d010488bbac9c2388df8c64f,0,0.0
d489996f56db48ef896d2354448cfaf4,0,0.0
487908c37ac8469d84e3c508cb45da98,0,0.0
3bdb63a8f92d42d5826e7d8054bf9ab6,0,0.0
1a566672a90540f18fc02c65085ec165,0,0.0
0789dedc45494ef38a062116ceaa86da,1,0.1
f80eefd57dd04707b5f8eb9beb037686,0,0.0
18ed03b507694e0eae004b68790e5e46,0,0.0
91997e02bf334ccd9a1af0837a07b400,0,0.0
700c54d5736741d3aadec99099be6772,0,0.0
109a6c94867a45bf9d70dee059add3e5,0,0.0
61fecd6560254c22bc32596aa9095b9f,1,0.7
80669b13c7174533b2f3b5c32ff0ff3b,0,0.0
bcfcde1279bf4bf38f87608be0e0d58b,0,0.0
28b51ce6e45f41eb81ad657c278a7b06,0,0.0
3ce629d4a53141c4a1bed3f9ff645566,0,0.0
5c8f9ce54f9d43d695ed540f84fe2f9b,1,0.32
50b138f82e364411ac254c183c6268aa,0,0.0
dd58da134fc549a084223046643278cb,0,0.0
28362b77fb574c7c8555e32bbff5fb18,0,0.0
21e20220358444aeafba1730fd3d7d07,0,0.0
c07d4e3ba9ea4294b9f25e9ec1ca9fe9,1,0.16
ef781f69eda144ba872e67ba6b54c82a,0,0.0
c0895e4a54ea4d0f83c34f6b4fca160d,1,0.65
3e7fbc3c30054edcae9ee217677888aa,0,0.0
8eb25655a4ec470cba526a2d6d905db2,0,0.0
